Business_type,CVR,Status,address
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab","35031693,26042933,39390949,41106093,17472542,20146893,39821036,26671221,30735250,24210103","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Rosengade 1, st.,4200 Slagelse,Immerkær 46,2650 Hvidovre,Karlebyvej 139 ,Store Karleby,4070 Kirke Hyllinge,Generatorvej 39,2860 Søborg,Ellehammers Alle 3,7190 Billund,Transformervej 21A,2860 Søborg,Baldrianvej 71,8240 Risskov,Valby Langgade 114,2500 Valby,Ejby Mosevej 93,2600 Glostrup,Torvegade 42, 4.,6700 Esbjerg"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Andelsselskab med begrænset ansvar,Anpartsselskab,Anpartsselskab","37788996,32310443,35255079,40818219,29151075,37969885,40284893,42709212,32880185,41624213","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Neptunvej 6,7430 Ikast,Sankt Nikolaj Vej 8, st.,1953 Frederiksberg C,Søborg Hovedgade 139 a.,2860 Søborg,Studiestræde 5, kl.,1455 København K,Skovdalsvej 5,8300 Odder,Algade 12A,9300 Sæby,Buddingevej 195, 2.,2860 Søborg,Byagervej 3,4250 Fuglebjerg,Nørregade 65 ,Ejby,5592 Ejby,Vestbirk Alle 21,2770 Kastrup"
"Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab","55077517,41626836,34896070,33754922,31370175,28101325,40860266,38730274,36014687,39659220","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Vibeholms Allé 27,2605 Brøndby,Nimbusparken 24, 3.,2000 Frederiksberg,Tuemosevej 30 ,Fangel,5260 Odense S,Avnvej 10,7400 Herning,Jennumvej 250,7182 Bredsten,Hakonsvej 11,2880 Bagsværd,Vinkelvej 5 ,Vedde,4295 Stenlille,Sdr. Havnegade 7,6000 Kolding,Hjerting Strandvej 170 ,Hjerting,6710 Esbjerg V,Frederiksbergvej 9 ,Øster Bjerregrav,8920 Randers NV"
"Anpartsselskab,Andelsselskab med begrænset ansvar,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab","40284893,42709212,32880185,41624213,55077517,41626836,34896070,33754922,31370175,28101325","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Buddingevej 195, 2.,2860 Søborg,Byagervej 3,4250 Fuglebjerg,Nørregade 65 ,Ejby,5592 Ejby,Vestbirk Alle 21,2770 Kastrup,Vibeholms Allé 27,2605 Brøndby,Nimbusparken 24, 3.,2000 Frederiksberg,Tuemosevej 30 ,Fangel,5260 Odense S,Avnvej 10,7400 Herning,Jennumvej 250,7182 Bredsten,Hakonsvej 11,2880 Bagsværd"
"Aktieselskab,Aktieselskab,Aktieselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","25063864,11520588,29211906,20775300,34804699,39457962,35393692,10590892,10058155,39722356","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Masnedøgade 22, 2.,2100 København Ø,Lundvej 30,8800 Viborg,Værkstedsvej 13,6000 Kolding,Østersøvej 3,9990 Skagen,Sivvej 7,4600 Køge,Peter Bangs Vej 37, st. tv.,2000 Frederiksberg,Vestergade 4,6800 Varde,Smedegade 4A,4200 Slagelse,Gammel Strandvej 30,2990 Nivå,Herlev Hovedgade 222,2730 Herlev"
"Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","32155871,29802327,32147348,39220172,40435360,32830498,14838775,29132135,37463574,40062572","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Føltvedvej 19 ,Ø Hassing,9362 Gandrup,Jeppe Skovgaards Vej 40,6800 Varde,Michael Drewsens Vej 20A, 1.,8270 Højbjerg,Lergravsvej 8A,3490 Kvistgård,Vestermarie Alle 19,2770 Kastrup,Industrivej 2 ,Hjallese,5260 Odense S,Følvigvej 8 ,Vile,7870 Roslev,Nedergårdsvej 49B ,Skejby,8200 Aarhus N,Engelsholmvej 26,8940 Randers SV,Bøsbrovej 58,8940 Randers SV"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","38387642,27709001,40770623,29784248,38917943,42028037,16308277,39598469,31154472,40178163","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Kalkbrænderiløbskaj 6,2100 København Ø,Rosenvej 3 ,Sjelle,8464 Galten,Lille Strandstræde 20C, 3.,1254 København K,Molevej 10A,6340 Kruså,Boeslunde Byvej 182,4242 Boeslunde,Flæsketorvet 68,1711 København V,Sønderskovvej 10 ,Borris,6900 Skjern,Ahlefeldtsvej 2,5300 Kerteminde,Wegeners Have 47,4300 Holbæk,Vigerslevvej 294, st. tv.,2500 Valby"
"Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Filial af udenlandsk anpartsselskab eller selskab,Aktieselskab,Anpartsselskab","29786321,30597265,29223009,31068991,26294096,34621179,32342566,37803774,37322318,20830573","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Sørby Hovedgade 24A ,Sørbymagle,4200 Slagelse,Rungsted Strandvej 56,2960 Rungsted Kyst,Kornmarken 1,8464 Galten,Ved Slotshaven 3,2820 Gentofte,Roskildevej 7,3600 Frederikssund,Nørrevej 9,4180 Sorø,Lyøvej 1,8600 Silkeborg,Hvedemarken 5,3520 Farum,Kønsborgvej 9 ,Kønsberg,7884 Fur,Dronninggårds Alle 136,2840 Holte"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","28896077,41052724,25382854,41350369,40915478,41208767,41815205,31495423,28970005,41671556","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Kildeskoven 13,4400 Kalundborg,Bygaden 60D, st. th. ,Stensballe,8700 Horsens,Sommervænget 2,3390 Hundested,Sommervænget 2,3390 Hundested,Nimbusparken 7, 3. 1.,2000 Frederiksberg,Nimbusparken 7, 3. 1.,2000 Frederiksberg,Stemannsgade 7, 2. th.,8900 Randers C,Parkovsvej 12,2820 Gentofte,Herthalund 34,4200 Slagelse,Østerbrogade 12B, 1. th.,9670 Løgstør"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","41387211,41956453,28105363,39147793,25697251,34474141,42804754,38070568,39031892,37981885","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Skellebjergvej 44,4293 Dianalund,Sigensvej 2,9310 Vodskov,Folevænget 14,2920 Charlottenlund,Hovedgaden 55B,2970 Hørsholm,Hartmannsvej 8 ,Kulhuse,3630 Jægerspris,Kuopiovej 14,5700 Svendborg,Jyllandsgade 166,6700 Esbjerg,Enkegårdslunden 8,8320 Mårslet,Bechgaardsgade 7, 4.,2100 København Ø,Sønderskov Møllevej 3 ,Sønderskov,9800 Hjørring"
